gender,age_group,race,hispanic,inputstate,education,presvote20post
Male,65+,White,No,Nevada,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Maryland,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Colorado,Some college or associate's degree,Joe Biden
Female,65+,White,No,Wisconsin,Some college or associate's degree,Joe Biden
Female,65+,White,Yes,New York,Some college or associate's degree,Donald Trump
Female,65+,White,No,Georgia,Some college or associate's degree,Donald Trump
Female,18-34,White,No,Georgia,Some college or associate's degree,Donald Trump
Female,65+,White,No,Louisiana,Some college or associate's degree,Donald Trump
Male,35-54,Hispanic,Yes,New York,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Minnesota,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Louisiana,Some college or associate's degree,Donald Trump
Female,65+,White,No,Missouri,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Oklahoma,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Florida,Some college or associate's degree,Joe Biden
Female,65+,White,No,Indiana,High school graduate (includes equivalency),Donald Trump
Female,65+,Native American,No,Texas,No high school diploma,Donald Trump
Male,65+,White,No,Minnesota,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Arizona,Some college or associate's degree,Joe Biden
Female,65+,White,No,Virginia,No high school diploma,Donald Trump
Female,65+,White,No,Alabama,Some college or associate's degree,Donald Trump
Female,65+,White,No,Massachusetts,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Washington,No high school diploma,Joe Biden
Male,35-54,White,No,Missouri,Bachelor's degree,Joe Biden
Female,65+,Hispanic,Yes,Texas,High school graduate (includes equivalency),Joe Biden
Male,18-34,Middle Eastern,No,New York,Bachelor's degree,Joe Biden
Male,35-54,Asian,No,California,Bachelor's degree,Donald Trump
Male,35-54,Hispanic,Yes,California,Bachelor's degree,Joe Biden
Male,35-54,Black,No,New Mexico,Bachelor's degree,Joe Biden
Male,18-34,Black,No,New Jersey,Some college or associate's degree,Joe Biden
Female,35-54,Asian,No,Wisconsin,Bachelor's degree,Joe Biden
Female,35-54,Black,No,Indiana,Bachelor's degree,Joe Biden
Male,18-34,Native American,No,Texas,Graduate or professional degree,Joe Biden
Male,18-34,Hispanic,Yes,Florida,Graduate or professional degree,Donald Trump
Female,35-54,Native American,Yes,Virginia,Graduate or professional degree,Joe Biden
Female,18-34,Hispanic,Yes,Florida,Bachelor's degree,Joe Biden
Female,35-54,White,No,Arizona,Graduate or professional degree,Joe Biden
Female,35-54,White,No,North Carolina,Graduate or professional degree,Joe Biden
Male,18-34,White,No,Washington,Some college or associate's degree,Joe Biden
Male,35-54,White,No,New Hampshire,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Missouri,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Iowa,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Ohio,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Minnesota,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,North Carolina,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Maryland,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Michigan,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Texas,Some college or associate's degree,Donald Trump
Female,18-34,White,No,Connecticut,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Vermont,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Michigan,Some college or associate's degree,Donald Trump
Female,18-34,White,No,Wisconsin,Graduate or professional degree,Joe Biden
Female,35-54,Hispanic,Yes,Texas,Some college or associate's degree,Donald Trump
Male,18-34,White,No,Georgia,No high school diploma,Donald Trump
Male,35-54,White,No,New York,Graduate or professional degree,Donald Trump
Male,35-54,White,No,Ohio,Graduate or professional degree,Joe Biden
